"","interval_group","count","average_value","sum_value","standard_deviation","standard_error"
"1",485010,15,0.0699375957059985,1.04906393558998,0.24345032237265,0.0628586029452068
"2",485011,58,0.104180077380759,6.04244448808405,0.410742149214985,0.0539330864385556
"3",485012,59,0.115637278898707,6.82259945502368,0.112483455605455,0.014644098588634
"4",485013,58,0.0734181318304617,4.25825164616678,0.054550518062068,0.00716283393738002
"5",485014,58,0.053514746705295,3.10385530890711,0.0384957726089631,0.00505474258146195
"6",485015,59,0.0457230424190329,2.69765950272294,0.0570202819675204,0.00742340841317099
"7",485016,58,0.0169982187285883,0.985896686258124,0.0272030183150602,0.00357193129796826
"8",485017,58,0.0540804054894147,3.13666351838605,0.0654080887820469,0.00858850281814262
"9",485018,59,0.0545023262369812,3.21563724798189,0.115954799954829,0.0150960291291185
"10",485019,58,0.0369446589404505,2.14279021854613,0.0638438233664911,0.00838310470638015
"11",485020,59,0.0279893408329093,1.65137110914165,0.0254117551523108,0.00330832872939068
"12",485021,58,0.0363367770079567,2.10753306646149,0.0499827215136834,0.00656305286658268
"13",485022,58,0.0325904250004476,1.89024465002596,0.060379203457236,0.00792817782488108
"14",485023,59,0.0277072567433422,1.63472814785719,0.0571739387901175,0.00744341282756968
"15",485024,58,0.000181215236717213,0.0105104837295983,0.00231074144618806,0.000303415216560071
"16",485025,59,0,0,0,0
"17",485026,58,0,0,0,0
"18",485027,58,0,0,0,0
"19",485028,59,0,0,0,0
"20",485029,58,0,0,0,0
"21",485030,59,0,0,0,0
"22",485031,58,0,0,0,0
"23",485032,59,0,0,0,0
"24",485033,58,-1.34122211110263e-09,-7.77908824439524e-08,1.02144432827254e-08,1.34122211110263e-09
"25",485034,59,0,0,0,0
"26",485035,58,0,0,0,0
"27",485036,59,0.00627153283836796,0.37002043746371,0.0127388576565359,0.00165845800544413
"28",485037,58,0.0070347833404871,0.408017433748252,0.0219846589076829,0.00288672713880557
"29",485038,58,0.00991751525503636,0.575215884792109,0.0397313722431011,0.0052169847618634
"30",485039,59,0.0943127735676103,5.56445364048901,0.582488749234774,0.0758335759214574
"31",485040,58,0.0164977044144121,0.956866856035902,0.0130455685317068,0.00171296706852546
"32",485041,59,0.0320611948629689,1.89161049691516,0.0658829655940514,0.00857723154287663
"33",485042,58,0.0221343128458713,1.28379014506054,0.0349649345679132,0.00459112083328628
"34",485043,58,0.0126922536330129,0.736150710714751,0.0149894159692088,0.00196820674156737
"35",485044,59,0.0248664481546815,1.46712044112621,0.0340261866713385,0.00442983218757178
"36",485045,58,0.0238963274841274,1.38598699407939,0.0376613801639254,0.00494518148589896
"37",485046,59,0.00810344737619332,0.478103395195406,0.0134839491431271,0.00175546065466453
"38",485047,58,0.0124616501440059,0.72277570835234,0.0356484739136735,0.00468087394649734
"39",485048,59,0,0,0,0
"40",485049,58,0,0,0,0
"41",485050,59,0,0,0,0
"42",485051,58,0,0,0,0
"43",485052,19,0,0,0,0
"44",485056,23,0,0,0,0
"45",485057,59,0,0,0,0
"46",485058,58,0.00552019868637386,0.320171523809684,0.0420416999475455,0.00552034565147098
"47",485059,59,0,0,0,0
"48",485060,58,0.00157628325260393,0.091424428651028,0.00569012514044558,0.000747150034717337
"49",485061,59,0.0149864176834241,0.884198643322024,0.0208389183900249,0.0027129960912156
"50",485062,58,0.0233142820926228,1.35222836137212,0.0505767342449794,0.00664105055940241
"51",485063,58,0.0170492078105074,0.988854053009432,0.0294480753082053,0.00386672172330492
"52",485064,59,0,0,0,0
"53",485065,58,0.014769444003032,0.856627752175855,0.0188862044077251,0.00247988013103795
"54",485066,59,0.0127195959578901,0.750456161515515,0.0143005404319518,0.00186177178527304
"55",485067,58,0.0153500789291986,0.890304577893517,0.0316461190896873,0.00415533901152081
"56",485068,59,0.0139991604261972,0.825950465145636,0.041387069868929,0.00538813755492313
"57",485069,58,0.00287560595463871,0.166785145369045,0.00702366813079579,0.00092225280784531
"58",485070,59,0.0131965401961249,0.778595871571372,0.0124546135322133,0.00162145257244588
"59",485071,58,0.00543411279655814,0.315178542200372,0.0110453454638646,0.00145032491256338
"60",485072,59,0,0,0,0
"61",485073,58,0,0,0,0
"62",485074,58,0,0,0,0
"63",485075,59,0,0,0,0
"64",485076,58,0,0,0,0
"65",485077,59,0,0,0,0
"66",485078,58,0,0,0,0
"67",485079,59,0,0,0,0
"68",485080,58,0,0,0,0
"69",485081,59,0,0,0,0
"70",485082,52,0,0,0,0
"71",485083,59,0,0,0,0
"72",485084,58,0,0,0,0
"73",485085,59,0.0114463772460475,0.675336257516804,0.0106611211760432,0.00138795975574366
"74",485086,58,0.0228850936349733,1.32733543082845,0.0976182856081569,0.0128179088650887
"75",485087,59,0.0102854244093467,0.606840040151458,0.0199781607456163,0.00260093499087163
"76",485088,58,0.0114435733063678,0.663727251769332,0.0123185938882776,0.00161751062131731
"77",485089,58,0.0150523664543434,0.873037254351914,0.0109012218579736,0.00143140055598295
"78",485090,59,0.0200635877392125,1.18375167661354,0.0192725300228383,0.00250906969551856
"79",485091,58,0.002356815102495,0.13669527594471,0.00602640450202006,0.000791305678130027
"80",485092,58,0.0143420270442556,0.831837568566827,0.018221126816562,0.00239255116496739
"81",485093,59,0.00991507470479607,0.584989407582968,0.00747659509281353,0.000973369772977965
"82",485094,58,0.0139952456497991,0.811724247688348,0.0232106779236933,0.00304771132241607
"83",485095,59,0.0129089877658164,0.761630278183165,0.0273768798284673,0.00356416617092104
"84",485096,58,0,0,0,0
"85",485097,59,0,0,0,0
"86",485098,58,0,0,0,0
"87",485099,59,0,0,0,0
"88",485100,58,0,0,0,0
"89",485101,59,0,0,0,0
"90",485102,58,0,0,0,0
"91",485103,58,0,0,0,0
"92",485104,59,0,0,0,0
"93",485105,58,0,0,0,0
"94",485106,59,0,0,0,0
"95",485107,58,0,0,0,0
"96",485108,58,0,0,0,0
"97",485109,59,0.00595245136073838,0.351194630283564,0.0137471979611425,0.00178973273159895
"98",485110,58,0.0147886767106919,0.85774324922013,0.0161337983021712,0.00211847150353635
"99",485111,59,0.0187559085781116,1.10659860610859,0.0435244584159961,0.00566640184220869
"100",485112,58,0.0147125047083906,0.853325273086654,0.0199113049087325,0.00261448242114795
"101",485113,59,0.0253370499011565,1.49488594416824,0.0584153403250762,0.00760502954149587
"102",485114,58,0.032257855507785,1.87095561945153,0.0439541192275084,0.00577145860525507
"103",485115,58,0.0163406682460737,0.947758758272272,0.0301721244225814,0.00396179402972888
"104",485116,59,0,0,0,0
"105",485117,58,0.0240494597707815,1.39486866670532,0.0260757575687149,0.00342391471046286
"106",485118,59,0.0435622096056082,2.57017036673089,0.0497669173341093,0.00647910077060038
"107",485119,58,0.0234319799648141,1.35905483795922,0.027128760091989,0.00356218071558627
"108",485120,58,0.0035961486437024,0.208576621334739,0.0101754575392616,0.00133610303219602
"109",485121,59,0,0,0,0
"110",485122,58,0,0,0,0
"111",485123,59,0,0,0,0
"112",485124,58,0,0,0,0
"113",485125,58,0,0,0,0
"114",485126,59,0,0,0,0
"115",485127,58,0,0,0,0
"116",485128,59,0,0,0,0
"117",485129,58,0,0,0,0
"118",485130,58,0,0,0,0
"119",485131,59,0,0,0,0
"120",485132,58,0,0,0,0
"121",485133,59,0,0,0,0
"122",485134,58,0.0282230577969005,1.63693735222023,0.0465369687201782,0.00611060335875108
"123",485135,59,0.0288787024398342,1.70384344395022,0.0505979743739797,0.00658729518158405
"124",485136,58,0.030872746739003,1.79061931086218,0.0555813573771226,0.00729818977069139
"125",485137,58,0.0955785554483942,5.54355621600686,0.324534658799506,0.0426134883863102
"126",485138,59,0.0108058516820506,0.637545249240985,0.015949796032938,0.00207648657589446
"127",485139,58,0,0,0,0
"128",485140,59,0.0345831812490973,2.04040769369674,0.0514313206575922,0.00669578762671748
"129",485141,58,0.0374439583507682,2.17174958434456,0.0747220681978506,0.00981148823096068
"130",485142,58,0.0362517263653671,2.10260012919129,0.0612688943086776,0.00804499995693181
"131",485143,59,0.0229456646029003,1.35379421157112,0.0311996183490011,0.00406184433587378
"132",485144,58,0.0189736179612367,1.10046984175173,0.0177097243886583,0.00232540073640355
"133",485145,59,0,0,0,0
"134",485146,58,0,0,0,0
"135",485147,58,0,0,0,0
"136",485148,59,0,0,0,0
"137",485149,58,0,0,0,0
"138",485150,58,0,0,0,0
"139",485151,59,0,0,0,0
"140",485152,58,0,0,0,0
"141",485153,59,0,0,0,0
"142",485154,58,0,0,0,0
"143",485155,59,0,0,0,0
"144",485156,58,0,0,0,0
"145",485157,11,0,0,0,0
