,interval_group,count,average_value,sum_value,standard_deviation,standard_error,,,,
1,485010,15,0,0,0,0,,,,
2,485011,58,2.385118809,138.3368909,2.934956566,0.385378677,,,,2388.05024
3,485012,59,6.182654342,364.7766062,4.92716191,0.641461843,,,,1320.769534
4,485013,58,5.283238032,306.4278058,4.84171667,0.635748545,,,,1171.999414
5,485014,58,3.231236375,187.4117097,4.098846017,0.538204849,,,,2637.674909
6,485015,59,4.270223126,251.9431644,5.021573523,0.653753188,,,,1850.932144
7,485016,58,5.136666485,297.9266561,4.734273917,0.62164062,,,,3509.815587
8,485017,58,4.463769838,258.8986506,5.105993573,0.670449802,,,,
9,485018,59,4.401211566,259.6714824,5.311863863,0.691545772,,,,
10,485019,58,1.29249455,74.9646839,2.845603105,0.373645993,,,,
11,485020,59,0,0,0,0,,,,
12,485021,58,2.698248932,156.498438,3.50997683,0.460882537,,,,
13,485022,58,1.472377812,85.3979131,2.984800907,0.39192356,,,,
14,485023,59,0,0,0,0,,,,
15,485024,58,0,0,0,0,,,,
16,485025,59,0.039296532,2.318495378,0.301842388,0.039296532,,,,
17,485026,58,0,0,0,0,,,,
18,485027,58,0,0,0,0,,,,
19,485028,59,0,0,0,0,,,,
20,485029,58,0,0,0,0,,,,
21,485030,59,0,0,0,0,,,,
22,485031,58,0,0,0,0,,,,
23,485032,59,0,0,0,0,,,,
24,485033,58,0.059961087,3.477743068,0.296694489,0.038957895,,,,
25,485034,59,0,0,0,0,,,,
26,485035,58,0.293143094,17.00229944,0.93345242,0.122568308,,,,
27,485036,59,0,0,0,0,,,,
28,485037,58,0.159896233,9.273981513,0.583719766,0.07664616,,,,
29,485038,59,0.903820232,53.3253937,1.907418221,0.248324701,,,,
30,485039,58,2.89145688,167.704499,3.576332715,0.469595492,,,,
31,485040,58,1.305819236,75.73751569,3.068214778,0.402876338,,,,
32,485041,59,3.595632663,212.1423271,4.417638316,0.575127521,,,,
33,485042,58,2.624963158,152.2478632,3.689907894,0.484508643,,,,
34,485043,58,3.531041812,204.8004251,4.549992752,0.597443318,,,,
35,485044,59,2.036870234,120.1753438,4.226784594,0.550280483,,,,
36,485045,58,1.045987857,60.66729573,2.635759181,0.346092136,,,,
37,485046,59,2.259550581,133.3134843,4.090582993,0.532548545,,,,
38,485047,58,0.253169036,14.68380406,1.150291003,0.151040608,,,,
39,485048,59,0,0,0,0,,,,
40,485049,58,0.346441838,20.09362661,1.503897976,0.197471479,,,,
41,485050,59,0,0,0,0,,,,
42,485051,58,0,0,0,0,,,,
43,485052,19,0,0,0,0,,,,
44,485056,23,0,0,0,0,,,,
45,485057,59,0,0,0,0,,,,
46,485058,58,0.026649372,1.545663586,0.202955572,0.026649372,,,,
47,485059,59,0.720436417,42.5057486,2.017415171,0.262645084,,,,
48,485060,58,0.61293556,35.55026247,2.569352963,0.337372572,,,,
49,485061,59,2.711460697,159.9761811,3.972885467,0.517225632,,,,
50,485062,58,3.131301229,181.6154713,4.655421675,0.611286814,,,,
51,485063,59,1.807640464,106.6507874,4.167044561,0.542502993,,,,
52,485064,58,2.89145688,167.704499,4.550449348,0.597503272,,,,
53,485065,59,2.442934396,144.1331294,4.627231635,0.602414247,,,,
54,485066,58,1.219208777,70.71410904,3.171470987,0.416434542,,,,
55,485067,59,1.015160406,59.89446394,3.516683575,0.457833205,,,,
56,485068,58,1.892105424,109.7421146,4.160372105,0.546283621,,,,
57,485069,58,0,0,0,0,,,,
58,485070,59,0.569799712,33.61818299,2.150701833,0.279997529,,,,
59,485071,58,1.165910032,67.62278187,3.513706498,0.461372266,,,,
60,485072,59,0,0,0,0,,,,
61,485073,58,0.519662757,30.14043992,2.112214747,0.277347384,,,,
62,485074,59,0,0,0,0,,,,
63,485075,58,0,0,0,0,,,,
64,485076,58,0,0,0,0,,,,
65,485077,59,0,0,0,0,,,,
66,485078,58,0,0,0,0,,,,
67,485079,59,0,0,0,0,,,,
68,485080,58,0,0,0,0,,,,
69,485081,59,0,0,0,0,,,,
70,485082,52,0,0,0,0,,,,
71,485083,59,0.681139885,40.18725322,2.623096718,0.341498105,,,,
72,485084,58,0,0,0,0,,,,
73,485085,59,2.842449136,167.704499,5.127271311,0.667513868,,,,
74,485086,58,4.297211262,249.2382532,6.16783991,0.809877057,,,,
75,485087,59,4.420859832,260.8307301,6.32438317,0.823364557,,,,
76,485088,58,5.276575689,306.0413899,6.238144012,0.819108438,,,,
77,485089,58,4.623666071,268.1726321,6.618122433,0.869002049,,,,
78,485090,59,2.017221968,119.0160961,4.68398189,0.609802501,,,,
79,485091,58,5.163315857,299.4723197,6.800741926,0.892981163,,,,
80,485092,59,5.77659018,340.8188206,6.748243666,0.878546494,,,,
81,485093,58,6.162667313,357.4347042,6.938676849,0.911092906,,,,
