"","interval_group","count","average_value","sum_value","standard_deviation","standard_error"
"1",485010,15,0.266666666666667,4,0.457737708217063,0.118187368057056
"2",485011,58,5.39655172413793,313,8.32653685339601,1.09332785229445
"3",485012,59,14.5084745762712,856,13.0864142257585,1.70370601669547
"4",485013,58,7.29310344827586,423,10.6425307316951,1.39743274697886
"5",485014,58,5.41379310344828,314,9.44055172852196,1.23960517169991
"6",485015,59,4.93220338983051,291,11.0248377996977,1.43531162688287
"7",485016,58,4.13793103448276,240,9.98498570374201,1.31109285491369
"8",485017,59,6.89830508474576,407,12.8890422790383,1.67801037789379
"9",485018,58,11.6034482758621,673,16.3459739720143,2.14633153388307
"10",485019,58,9.67241379310345,561,16.6147133389217,2.18161874152066
"11",485020,59,0,0,0,0
"12",485021,58,0,0,0,0
"13",485022,58,4.41379310344828,256,10.6260759748418,1.39527213155287
"14",485023,59,1.61016949152542,95,5.85460899825953,0.76220516970194
"15",485024,58,0,0,0,0
"16",485025,59,0,0,0,0
"17",485026,58,0,0,0,0
"18",485027,58,0,0,0,0
"19",485028,59,0,0,0,0
"20",485029,58,0,0,0,0
"21",485030,59,0.0338983050847458,2,0.260377821961648,0.0338983050847458
"22",485031,58,0,0,0,0
"23",485032,59,0,0,0,0
"24",485033,58,0.0517241379310345,3,0.2915424072011,0.0382813935169132
"25",485034,59,0,0,0,0
"26",485035,58,0,0,0,0
"27",485036,59,11.4915254237288,678,15.7932470088085,2.05610562892793
"28",485037,58,18.051724137931,1047,19.4570353611585,2.55483390729921
"29",485038,59,30.3220338983051,1789,22.2489369586939,2.89656487313336
"30",485039,58,28.8965517241379,1676,21.5428497155251,2.82871474977869
"31",485040,58,34.8275862068966,2020,18.351478673665,2.40966720234023
"32",485041,59,31.6271186440678,1866,20.638011720162,2.68684027065737
"33",485042,58,28.9137931034483,1677,19.9923533476551,2.62512460255172
"34",485043,59,28.5932203389831,1687,19.6662836312407,2.56033204899123
"35",485044,58,3.89655172413793,226,11.8864358123804,1.56076548593973
"36",485045,58,15.0344827586207,872,21.8013081188419,2.86265200076083
"37",485046,59,20.7796610169492,1226,20.8971766750094,2.72058067389335
"38",485047,58,2.20689655172414,128,9.16468933191487,1.2033826644413
"39",485048,59,0,0,0,0
"40",485049,58,0,0,0,0
"41",485050,59,0,0,0,0
"42",485051,58,0,0,0,0
"43",485052,19,0,0,0,0
"44",485056,26,0,0,0,0
"45",485057,58,0,0,0,0
"46",485058,59,0.135593220338983,8,0.918349852924819,0.119558967251682
"47",485059,58,0,0,0,0
"48",485060,59,0,0,0,0
"49",485061,58,12.8620689655172,746,16.1010496289234,2.11417139207129
"50",485062,58,21.2241379310345,1231,14.7909919284088,1.94215238857631
"51",485063,59,0,0,0,0
"52",485064,58,12.4137931034483,720,15.6944894595217,2.06078742648432
"53",485065,59,24.5762711864407,1450,16.1695791319533,2.10509989820726
"54",485066,58,25.3620689655172,1471,19.232372449343,2.52533422175284
"55",485067,59,6.11864406779661,361,14.3552042056155,1.86888840243643
"56",485068,58,0,0,0,0
"57",485069,58,9.25862068965517,537,16.8257950932568,2.20933513372418
"58",485070,59,0,0,0,0
"59",485071,58,0,0,0,0
"60",485072,59,0,0,0,0
"61",485073,58,0,0,0,0
"62",485074,59,0,0,0,0
"63",485075,58,0,0,0,0
"64",485076,59,0.0847457627118644,5,0.650944554904119,0.0847457627118644
"65",485077,58,0,0,0,0
"66",485078,58,0,0,0,0
"67",485079,59,0,0,0,0
"68",485080,58,0,0,0,0
"69",485081,59,0,0,0,0
"70",485082,52,0,0,0,0
"71",485083,59,0,0,0,0
"72",485084,58,0,0,0,0
"73",485085,59,15.4915254237288,914,17.9351060881051,2.33495192993594
"74",485086,58,23.9655172413793,1390,17.1279657616214,2.24901208630197
"75",485087,59,28.7796610169492,1698,17.9146133727999,2.33228400564733
"76",485088,58,31.7413793103448,1841,18.7677965552115,2.46433241830182
"77",485089,58,25.7758620689655,1495,19.7360149050288,2.59146571604565
"78",485090,59,27.5423728813559,1625,18.4103812861098,2.39682749038037
"79",485091,58,12.6206896551724,732,18.8891759464801,2.48027031319198
"80",485092,59,0,0,0,0
"81",485093,58,13.9137931034483,807,17.5382133987359,2.30288024012061
"82",485094,59,0,0,0,0
"83",485095,58,0,0,0,0
"84",485096,58,9.77586206896552,567,15.9131889505885,2.08950407652453
"85",485097,59,1.3728813559322,81,6.45113811152395,0.839866645326191
"86",485098,58,0,0,0,0
"87",485099,59,0,0,0,0
"88",485100,58,0,0,0,0
"89",485101,59,0,0,0,0
"90",485102,58,0,0,0,0
"91",485103,58,0,0,0,0
"92",485104,59,0,0,0,0
"93",485105,58,0,0,0,0
"94",485106,59,0,0,0,0
"95",485107,58,0,0,0,0
"96",485108,59,0,0,0,0
"97",485109,58,18.2931034482759,1061,22.2055853734727,2.91573620495273
"98",485110,58,35.1206896551724,2037,18.9783603327458,2.49198079681931
"99",485111,59,39.1186440677966,2308,16.1609200251961,2.10397257852846
"100",485112,58,35.1034482758621,2036,19.5822060789465,2.57126962775044
"101",485113,59,29.0847457627119,1716,22.6497226409091,2.94874272463767
"102",485114,58,25.5862068965517,1484,24.114518072132,3.16639134818296
"103",485115,58,0,0,0,0
"104",485116,59,0,0,0,0
"105",485117,58,26.1206896551724,1515,21.7973743680424,2.8621354739756
"106",485118,59,0,0,0,0
"107",485119,58,10.0344827586207,582,16.9301615180131,2.22303911666925
"108",485120,58,0,0,0,0
"109",485121,59,0,0,0,0
"110",485122,58,0.0172413793103448,1,0.131306432859723,0.0172413793103448
"111",485123,59,0,0,0,0
"112",485124,58,0,0,0,0
"113",485125,58,0,0,0,0
"114",485126,59,0,0,0,0
"115",485127,58,0,0,0,0
"116",485128,59,0,0,0,0
"117",485129,58,0,0,0,0
"118",485130,58,0,0,0,0
"119",485131,59,0,0,0,0
"120",485132,58,0.137931034482759,8,0.759692362992011,0.0997524942552544
"121",485133,59,0,0,0,0
"122",485134,58,29.2241379310345,1695,24.7046008240445,3.24387300942864
"123",485135,59,34.5932203389831,2041,24.3997729243729,3.17657986520349
"124",485136,58,35.8448275862069,2079,25.1087471472211,3.29694002147834
"125",485137,59,30.3728813559322,1792,24.9177255182515,3.24401154934025
"126",485138,58,32.6724137931034,1895,22.8798447509106,3.00427079862632
"127",485139,58,16.1379310344828,936,21.231760614753,2.78786674965477
"128",485140,59,0,0,0,0
"129",485141,58,0,0,0,0
"130",485142,59,0,0,0,0
"131",485143,58,8.37931034482759,486,16.6120095916757,2.18126372211444
"132",485144,58,7.58620689655172,440,15.5428490724763,2.04087606818391
"133",485145,59,5.72881355932203,338,14.0514209717989,1.82933919405161
"134",485146,58,0,0,0,0
"135",485147,58,0,0,0,0
"136",485148,59,0,0,0,0
"137",485149,58,0,0,0,0
"138",485150,59,0,0,0,0
"139",485151,58,0,0,0,0
"140",485152,58,0,0,0,0
"141",485153,59,0,0,0,0
"142",485154,58,0,0,0,0
"143",485155,59,0,0,0,0
"144",485156,58,0,0,0,0
"145",485157,11,0,0,0,0
