,interval_group,count,average_value,sum_value,standard_deviation,standard_error,,,,
1,485010,15,0,0,0,0,,,,0.063254433
2,485011,58,0.102780431,5.961264986,0.1186502,0.015579534,,,,0.046727781
3,485012,59,0.198696264,11.72307958,0.121919312,0.015872542,,,,0.041950486
4,485013,58,0.17825786,10.33895589,0.125084326,0.016424377,,,,0.066263445
5,485014,58,0.121917846,7.071235063,0.125251152,0.016446282,,,,0.062874577
6,485015,59,0.141308147,8.337180679,0.12460554,0.01622226,,,,0.090388408
7,485016,58,0.191398579,11.10111756,0.132294138,0.017371071,,,,
8,485017,58,0.173158146,10.04317245,0.162725159,0.02136686,,,,
9,485018,59,0.148402287,8.755734922,0.150545566,0.019599363,,,,
10,485019,58,0.060555986,3.512247188,0.118654004,0.015580034,,,,
11,485020,59,0,0,0,0,,,,
12,485021,58,0.123047131,7.136733621,0.137752136,0.018087742,,,,
13,485022,58,0.073116387,4.240750435,0.120605193,0.015836238,,,,
14,485023,59,0,0,0,0,,,,
15,485024,58,0,0,0,0,,,,
16,485025,59,0.002001626,0.118095958,0.015374784,0.002001626,,,,
17,485026,58,0,0,0,0,,,,
18,485027,58,0,0,0,0,,,,
19,485028,59,0,0,0,0,,,,
20,485029,58,0,0,0,0,,,,
21,485030,59,0,0,0,0,,,,
22,485031,58,0,0,0,0,,,,
23,485032,59,0,0,0,0,,,,
24,485033,58,0.003465695,0.201010303,0.018710115,0.002456758,,,,
25,485034,59,0,0,0,0,,,,
26,485035,58,0.027643653,1.603331862,0.075557616,0.009921201,,,,
27,485036,59,0,0,0,0,,,,
28,485037,58,0.011116117,0.644734801,0.041055587,0.005390863,,,,
29,485038,59,0.062625504,3.69490475,0.111748306,0.01454839,,,,
30,485039,58,0.143623325,8.330152826,0.148288112,0.019471183,,,,
31,485040,58,0.064976096,3.768613556,0.13374527,0.017561614,,,,
32,485041,59,0.159613038,9.417169271,0.172236549,0.022423289,,,,
33,485042,58,0.148839534,8.632692969,0.175903066,0.023097204,,,,
34,485043,58,0.141947984,8.232983071,0.167451498,0.021987459,,,,
35,485044,59,0.085610075,5.050994402,0.151881385,0.019773272,,,,
36,485045,58,0.056087994,3.253103643,0.132625532,0.017414586,,,,
37,485046,59,0.107126765,6.320479145,0.167819608,0.021848252,,,,
38,485047,58,0.016479674,0.955821078,0.074362344,0.009764254,,,,
39,485048,59,0,0,0,0,,,,
40,485049,58,0.023001939,1.334112461,0.079602976,0.010452383,,,,
41,485050,59,0,0,0,0,,,,
42,485051,58,0,0,0,0,,,,
43,485052,19,0,0,0,0,,,,
44,485056,23,0,0,0,0,,,,
45,485057,59,0,0,0,0,,,,
46,485058,58,0.006125986,0.355307168,0.046654117,0.006125986,,,,
47,485059,59,0.037193403,2.194410789,0.099277494,0.012924829,,,,
48,485060,58,0.029455655,1.708428008,0.10961207,0.01439277,,,,
49,485061,59,0.155608671,9.180911581,0.187921382,0.02446528,,,,
50,485062,58,0.131626043,7.634310487,0.167063411,0.0219365,,,,
51,485063,59,0.071993486,4.247615673,0.139762947,0.018195586,,,,
52,485064,58,0.161463554,9.364886157,0.201781868,0.026495257,,,,
53,485065,59,0.117059213,6.906493542,0.166791277,0.021714375,,,,
54,485066,58,0.061723255,3.579948793,0.156789314,0.020587446,,,,
55,485067,59,0.052354679,3.088926054,0.145193975,0.018902645,,,,
56,485068,58,0.098687168,5.723855727,0.187796272,0.024658859,,,,
57,485069,58,0,0,0,0,,,,
58,485070,59,0.036365499,2.145564453,0.120822092,0.015729697,,,,
59,485071,58,0.058682168,3.403565749,0.149571685,0.019639724,,,,
60,485072,59,0,0,0,0,,,,
61,485073,58,0.028441432,1.649603041,0.105711441,0.013880592,,,,
62,485074,59,0,0,0,0,,,,
63,485075,58,0,0,0,0,,,,
64,485076,58,0,0,0,0,,,,
65,485077,59,0,0,0,0,,,,
66,485078,58,0,0,0,0,,,,
67,485079,59,0,0,0,0,,,,
68,485080,58,0,0,0,0,,,,
69,485081,59,0,0,0,0,,,,
70,485082,52,0,0,0,0,,,,
71,485083,59,0.032806503,1.935583686,0.110737547,0.014416801,,,,
72,485084,58,0,0,0,0,,,,
73,485085,59,0.123937184,7.312293867,0.198071875,0.025786762,,,,
74,485086,58,0.168039756,9.746305861,0.212653053,0.027922714,,,,
75,485087,59,0.153470298,9.054747571,0.204455438,0.026617831,,,,
76,485088,58,0.196004293,11.36824899,0.203561741,0.026728966,,,,
77,485089,58,0.162649978,9.433698735,0.198588567,0.026075956,,,,
78,485090,59,0.075469317,4.452689689,0.162655012,0.021175879,,,,
79,485091,58,0.174309731,10.10996439,0.194431822,0.025530149,,,,
80,485092,59,0.187972546,11.09038018,0.19415327,0.025276603,,,,
81,485093,58,0.187223092,10.85893932,0.190970676,0.025075678,,,,
82,485094,59,0.008047033,0.474774932,0.061810431,0.008047033,,,,
83,485095,58,0,0,0,0,,,,
84,485096,58,0.102799405,5.962365462,0.18660564,0.024502521,,,,
85,485097,59,0.022856185,1.348514932,0.091427663,0.011902868,,,,
86,485098,58,0,0,0,0,,,,
87,485099,59,0,0,0,0,,,,
88,485100,58,0.011625541,0.674281398,0.062055475,0.008148283,,,,
89,485101,59,0,0,0,0,,,,
90,485102,58,0,0,0,0,,,,
91,485103,58,0,0,0,0,,,,
92,485104,59,0,0,0,0,,,,
93,485105,58,0,0,0,0,,,,
94,485106,59,0,0,0,0,,,,
95,485107,58,0.015918328,0.923263029,0.06892277,0.009050003,,,,
96,485108,58,0,0,0,0,,,,
97,485109,59,0.064618534,3.81249351,0.163692541,0.021310954,,,,
98,485110,58,0.221821354,12.86563854,0.229467818,0.030130601,,,,
99,485111,59,0.167358504,9.874151745,0.222500529,0.028967102,,,,
