,interval_group,count,average_value,sum_value,standard_deviation,standard_error,,,,,
1,485010,15,0.103044239,1.545663586,0.176877127,0.045669478,,,,,
2,485011,58,2.085313372,120.9481756,3.217506202,0.422479262,,,,,1714.913748
3,485012,59,5.606305209,330.7720073,5.056798484,0.658339088,,,,,5757.596856
4,485013,58,2.818171106,163.4539242,4.112443053,0.539990228,,,,,2519.81806
5,485014,58,2.091975715,121.3345915,3.647979259,0.479003144,,,,,4308.537245
6,485015,59,1.905881794,112.4470258,4.260172581,0.554627229,,,,,4926.029847
7,485016,58,1.59896233,92.73981513,3.858357201,0.506627121,,,,,4521.83882
8,485017,59,2.665614743,157.2712698,4.980530826,0.648409884,,,,,
9,485018,58,4.483756867,260.0578983,6.316344185,0.829376624,,,,,
10,485019,58,3.737574446,216.7793179,6.420189348,0.843012162,,,,,
11,485020,59,0,0,0,0,,,,,
12,485021,58,0,0,0,0,,,,,
13,485022,58,1.705559819,98.92246948,4.106084673,0.539155331,,,,,
14,485023,59,0.622195087,36.70951016,2.262313984,0.294528194,,,,,
15,485024,58,0,0,0,0,,,,,
16,485025,59,0,0,0,0,,,,,
17,485026,58,0,0,0,0,,,,,
18,485027,58,0,0,0,0,,,,,
19,485028,59,0,0,0,0,,,,,
20,485029,58,0,0,0,0,,,,,
21,485030,59,0.013098844,0.772831793,0.100614129,0.013098844,,,,,
22,485031,58,0,0,0,0,,,,,
23,485032,59,0,0,0,0,,,,,
24,485033,58,0.019987029,1.159247689,0.112656621,0.014792539,,,,,
25,485034,59,0,0,0,0,,,,,
26,485035,58,0,0,0,0,,,,,
27,485036,59,4.440508098,261.9899778,6.1027617,0.7945119,,,,,
28,485037,58,6.975473164,404.5774435,7.51850776,0.987228434,,,,,
29,485038,59,11.71691591,691.2980386,8.597342919,1.119278712,,,,,
30,485039,58,11.16608694,647.6330424,8.324499584,1.093060346,,,,,
31,485040,58,13.45793294,780.5601107,7.091303082,0.931133712,,,,,
32,485041,59,12.2212214,721.0520627,7.974855799,1.038237792,,,,,
33,485042,58,11.17274928,648.0194582,7.72536314,1.014389876,,,,,
34,485043,59,11.04887487,651.8836172,7.599364618,0.989353004,,,,,
35,485044,58,1.505689527,87.32999258,4.593107749,0.603104594,,,,,
36,485045,58,5.809563132,336.9546617,8.424372019,1.106174239,,,,,
37,485046,59,8.029591339,473.745889,8.075001257,1.05127562,,,,,
38,485047,58,0.852779909,49.46123474,3.541381643,0.465006191,,,,,
39,485048,59,0,0,0,0,,,,,
40,485049,58,0,0,0,0,,,,,
41,485050,59,0,0,0,0,,,,,
42,485051,58,0,0,0,0,,,,,
43,485052,19,0,0,0,0,,,,,
44,485056,26,0,0,0,0,,,,,
45,485057,58,0,0,0,0,,,,,
46,485058,59,0.052395376,3.091327171,0.354864982,0.046199486,,,,,
47,485059,58,0,0,0,0,,,,,
48,485060,59,0,0,0,0,,,,,
49,485061,58,4.970107909,288.2662587,6.221701525,0.816949434,,,,,
50,485062,58,8.201344284,475.6779685,5.715474405,0.750478556,,,,,
51,485063,59,0,0,0,0,,,,,
52,485064,58,4.79688699,278.2194454,6.064600213,0.796321021,,,,,
53,485065,59,9.49666186,560.3030498,6.248182415,0.813444064,,,,,
54,485066,58,9.800306614,568.4177836,7.43169444,0.975829287,,,,,
55,485067,59,2.364341332,139.4961386,5.547079101,0.722168187,,,,,
56,485068,58,0,0,0,0,,,,,
57,485069,58,3.577678213,207.5053364,6.501754693,0.853722216,,,,,
58,485070,59,0,0,0,0,,,,,
59,485071,58,0,0,0,0,,,,,
60,485072,59,0,0,0,0,,,,,
61,485073,58,0,0,0,0,,,,,
62,485074,59,0,0,0,0,,,,,
63,485075,58,0,0,0,0,,,,,
64,485076,59,0.03274711,1.932079482,0.251535324,0.03274711,,,,,
65,485077,58,0,0,0,0,,,,,
66,485078,58,0,0,0,0,,,,,
67,485079,59,0,0,0,0,,,,,
68,485080,58,0,0,0,0,,,,,
69,485081,59,0,0,0,0,,,,,
70,485082,52,0,0,0,0,,,,,
71,485083,59,0,0,0,0,,,,,
72,485084,58,0,0,0,0,,,,,
73,485085,59,5.986171683,353.1841293,6.930410096,0.902262543,,,,,
74,485086,58,9.260656827,537.118096,6.618518243,0.869054021,,,,,
75,485087,59,11.12091851,656.1341921,6.922491385,0.901231615,,,,,
76,485088,58,12.26537354,711.3916653,7.252174929,0.95225722,,,,,
77,485089,58,9.960202847,577.6917651,7.626309891,1.001383548,,,,,
78,485090,59,10.64281071,627.9258316,7.114063988,0.926172243,,,,,
79,485091,58,4.876835106,282.8564362,7.299077855,0.958415876,,,,,
80,485092,59,0,0,0,0,,,,,
81,485093,58,5.376510834,311.8376284,6.777044452,0.889869532,,,,,
82,485094,59,0,0,0,0,,,,,
83,485095,58,0,0,0,0,,,,,
84,485096,58,3.777548504,219.0978133,6.149109173,0.807417591,,,,,
85,485097,59,0.53050318,31.29968761,2.492822316,0.324537823,,,,,
86,485098,58,0,0,0,0,,,,,
87,485099,59,0,0,0,0,,,,,
88,485100,58,0,0,0,0,,,,,
89,485101,59,0,0,0,0,,,,,
90,485102,58,0,0,0,0,,,,,
91,485103,58,0,0,0,0,,,,,
92,485104,59,0,0,0,0,,,,,
93,485105,58,0,0,0,0,,,,,
94,485106,59,0,0,0,0,,,,,
95,485107,58,0,0,0,0,,,,,
96,485108,59,0,0,0,0,,,,,
97,485109,58,7.068745967,409.9872661,8.580591177,1.126686819,,,,,
98,485110,58,13.57119277,787.1291809,7.33354012,0.962940993,,,,,
99,485111,59,15.11606591,891.8478889,6.244836398,0.81300845,,,,,
100,485112,58,13.56453043,786.7427651,7.566875715,0.993579458,,,,,
101,485113,59,11.23880811,663.0896782,8.752212877,1.139441063,,,,,
102,485114,58,9.886917073,573.4411902,9.318233117,1.223543951,,,,,
103,485115,58,0,0,0,0,,,,,
104,485116,59,0,0,0,0,,,,,
105,485117,58,10.09344971,585.420083,8.422851955,1.105974645,,,,,
106,485118,59,0,0,0,0,,,,,
107,485119,58,3.87748365,224.8940517,6.542083539,0.859017653,,,,,
