,interval_group,count,average_value,sum_value,standard_deviation,standard_error,,,,
1,485010,15,0.334893777,5.023406653,0.770989521,0.199068638,,,,
2,485011,58,3.137963572,182.0018872,4.65732767,0.611537083,,,,5157.879385
3,485012,59,8.546995674,504.2727448,5.441180186,0.708381323,,,,3693.363138
4,485013,58,8.347915831,484.1791182,5.561648133,0.730280177,,,,3858.362725
5,485014,58,8.048110394,466.7904028,6.512454178,0.855127127,,,,4458.853028
6,485015,59,6.477378331,382.1653215,6.002365566,0.781441436,,,,5099.144169
7,485016,58,3.50439244,203.2547615,5.524750288,0.725435253,,,,4024.907977
8,485017,58,6.83556396,396.4627097,6.493952377,0.852697722,,,,
9,485018,59,5.416371971,319.5659463,6.393298442,0.832336562,,,,
10,485019,58,6.289251831,364.7766062,6.240764421,0.819452514,,,,
11,485020,59,8.822071397,520.5022124,4.971972724,0.647295714,,,,
12,485021,58,10.04681331,582.7151718,5.06055504,0.664483431,,,,
13,485022,58,7.968162277,462.1534121,5.185741836,0.680921262,,,,
14,485023,59,4.754880352,280.5379408,5.101343022,0.664138293,,,,
15,485024,58,0.053298744,3.091327171,0.310892644,0.040822204,,,,
16,485025,59,0,0,0,0,,,,
17,485026,58,0,0,0,0,,,,
18,485027,58,0,0,0,0,,,,
19,485028,59,0,0,0,0,,,,
20,485029,58,0,0,0,0,,,,
21,485030,59,0,0,0,0,,,,
22,485031,58,0,0,0,0,,,,
23,485032,59,0,0,0,0,,,,
24,485033,58,0.006662343,0.386415896,0.050738893,0.006662343,,,,
25,485034,59,0,0,0,0,,,,
26,485035,58,0,0,0,0,,,,
27,485036,59,2.3250448,137.1776432,3.990988262,0.519582416,,,,
28,485037,58,0.45970167,26.66269685,1.563285549,0.205269449,,,,
29,485038,58,1.778845592,103.1730443,3.995438781,0.524626814,,,,
30,485039,59,6.333291048,373.6641718,5.475108348,0.712798393,,,,
31,485040,58,7.655032154,443.991865,5.165308143,0.678238187,,,,
32,485041,59,7.394297407,436.263547,5.553282073,0.722975746,,,,
33,485042,58,7.481811235,433.9450516,5.379082591,0.706308147,,,,
34,485043,58,6.562407896,380.6196579,5.158220628,0.677307551,,,,
35,485044,59,7.73486735,456.3571736,5.849070568,0.761484128,,,,
36,485045,58,7.635045125,442.8326173,5.852374448,0.768454412,,,,
37,485046,59,4.093388733,241.5099352,6.124551624,0.797348706,,,,
38,485047,58,3.357820893,194.7536118,5.394890985,0.708383891,,,,
39,485048,59,0,0,0,0,,,,
40,485049,58,0,0,0,0,,,,
41,485050,59,0,0,0,0,,,,
42,485051,58,0,0,0,0,,,,
43,485052,19,0,0,0,0,,,,
44,485056,23,0,0,0,0,,,,
45,485057,59,0,0,0,0,,,,
46,485058,58,0.033311715,1.932079482,0.208336447,0.027355916,,,,
47,485059,59,0,0,0,0,,,,
48,485060,58,0.353104181,20.48004251,1.387183276,0.182146088,,,,
49,485061,59,6.817948274,402.2589481,5.028919388,0.654709539,,,,
50,485062,58,6.609044297,383.3245692,5.962955237,0.782974381,,,,
51,485063,58,8.221331313,476.8372161,6.716671856,0.881942222,,,,
